         2810209 function calls (2803916 primitive calls) in 158.976 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-11>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        6    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(non_reentrant)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
       57    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1043(__import__)
      935    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:119(release)
      557    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      557    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:163(__enter__)
      557    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
      935    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      378    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
   660/10    0.000    0.000    0.304    0.030 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      439    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
     1756    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      786    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:406(cached)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
      439    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
  439/415    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
   439/10    0.002    0.000    0.304    0.030 <frozen importlib._bootstrap>:659(_load_unlocked)
